certificado | anio | text
certificado | archivo_lugar | text
certificado | ciudad_firma | text
certificado | dia_num | text
certificado | documento_identidad | text
certificado | fecha_fallecimiento | text
certificado | hora_fallecimiento | text
certificado | medico1_nombre | text
certificado | medico2_nombre | text
certificado | mes_nombre | text
certificado | nombre_fallecido | text
certificado | sexo | text
doppler | comentarios_l1 | text
doppler | comentarios_resto | text
doppler | edad | text
doppler | equipo | text
doppler | fecha_anio | text
doppler | fecha_dia | text
doppler | fecha_hora_top | text
doppler | fecha_mes | text
doppler | filtro | text
doppler | final_fecha | text
doppler | final_hora | text
doppler | hospital | text
doppler | inicio_fecha | text
doppler | inicio_hora | text
doppler | interpretacion_l1 | text
doppler | interpretacion_resto | text
doppler | paciente | text
doppler | paco2 | text
doppler | pd_numero | text
doppler | tam | text
neuro | apneica1_co2_no | checkbox
neuro | apneica1_co2_si | checkbox
neuro | apneica1_complicaciones | text
neuro | apneica1_duracion | text
neuro | apneica1_indeterminada | checkbox
neuro | apneica1_negativa | checkbox
neuro | apneica1_pco2_final | text
neuro | apneica1_pco2_inicial | text
neuro | apneica1_positiva | checkbox
neuro | apneica2_co2_no | checkbox
neuro | apneica2_co2_si | checkbox
neuro | apneica2_complicaciones | text
neuro | apneica2_duracion | text
neuro | apneica2_indeterminada | checkbox
neuro | apneica2_negativa | checkbox
neuro | apneica2_pco2_final | text
neuro | apneica2_pco2_inicial | text
neuro | apneica2_positiva | checkbox
neuro | arm_fecha_hs | text
neuro | arm_obligada | text
neuro | causa_coma | text
neuro | cb_electroestimulacion | checkbox
neuro | cb_reflejos_idiomusculares | checkbox
neuro | cb_reflejos_osteotendinosos | checkbox
neuro | cb_union_neuromuscular | checkbox
neuro | cumple_me_no | checkbox
neuro | cumple_me_si | checkbox
neuro | droga1 | text
neuro | droga2 | text
neuro | edad | text
neuro | estudios_complementarios | text
neuro | fc_final | text
neuro | fc_inicial | text
neuro | fecha_1a | text
neuro | fecha_2a | text
neuro | fecha_anio | text
neuro | fecha_dia | text
neuro | fecha_hora_top | text
neuro | fecha_mes | text
neuro | fondo_ojo | text
neuro | hora_1a | text
neuro | hora_2a | text
neuro | hora_evaluacion_1 | text
neuro | hora_evaluacion_2 | text
neuro | no_cumple_motivo | text
neuro | nombre | text
neuro | observaciones_1a | text
neuro | observaciones_2a | text
neuro | observaciones_l1 | text
neuro | observaciones_resto | text
neuro | otra_med_resto | text
neuro | pd_numero | text
neuro | peat | text
neuro | pess | text
neuro | pev | text
neuro | potenciales_fecha | text
neuro | potenciales_hora | text
neuro | pupilas_1a | text
neuro | pupilas_2a | text
neuro | reflejo_corneano | text
neuro | reflejo_cremasteriano | text
neuro | reflejo_cutaneoabdominal | text
neuro | reflejo_deglutorio | text
neuro | reflejo_dolor | text
neuro | reflejo_fotomotor | text
neuro | reflejo_maseterino | text
neuro | reflejo_nauseoso | text
neuro | reflejo_oculocefalico | text
neuro | reflejo_oculovestibular | text
neuro | reflejo_osteotendinosos | text
neuro | reflejo_plantar | text
neuro | t_central_1a | text
neuro | t_central_2a | text
neuro | ta_tam_1a | text
neuro | ta_tam_2a | text
neuro | tipo_test_confirmacion | text
